scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
CeXuEpYAAAAJ,0ikF-NMAAAAJ,Lidia Verónica Valdenegro Fuentes,Universidad Católica de la Santísima Concepción
CeXuEpYAAAAJ,pAWGl5IAAAAJ,Jorge Valenzuela,"Facultad de Educación, Universidad Católica del Maule"
CeXuEpYAAAAJ,1-XG8zsAAAAJ,Jorge Miranda,Profesor de Currículo Universidad católica de Temuco
CeXuEpYAAAAJ,Mn_m5kAAAAAJ,Michel  Valdés Montecinos,Académico Universidad de Tarapacá
CeXuEpYAAAAJ,RpqxmdsAAAAJ,Norman Lederman,"Oregon State University, Illinois Institute of Technology"
CeXuEpYAAAAJ,E2xIMxkAAAAJ,Judith Lederman,Professor Illim
rTgBALEAAAAJ,Obt0vO4AAAAJ,Jorge Díaz-Ramírez,Universidad de Tarapacá
rTgBALEAAAAJ,2788zbAAAAAJ,José Berríos-Riquelme,Trabajador Social | Departamento de Ciencias Sociales. Universidad de Tarapacá
rTgBALEAAAAJ,9kp_v8MAAAAJ,Pedro Luis Bracho-Fuenmayor https://...,Universidad de Tarapacá
9kp_v8MAAAAJ,KVuGa8lnhO0C,Edgar Cordova Jaimes,Universidad del Sinú Elias Bechara Zainúm
9kp_v8MAAAAJ,MY8PKlcAAAAJ,mariby boscan,"Profesora de Microeconomía I, Universidad del Zulia"
9kp_v8MAAAAJ,r6Ty4-0AAAAJ,JACQUELINE GUILLEN,Universidad Técnica de Manabí
9kp_v8MAAAAJ,rTgBALEAAAAJ,Cristobal Pulido,"profesor de Psicologia, Universidad de Tarapaca"
9kp_v8MAAAAJ,Msw8sbAAAAAJ,FLOR MARIA AVILA HERNANDEZ,Universidad Católica de Colombia
QkYexZ8AAAAJ,5B7g_9UAAAAJ,Carolina Lara Michel,IIDyPCa/CONICET/UNRN
QkYexZ8AAAAJ,ajiHSOEAAAAJ,Martin A. Nuñez,"Grupo de Ecologia de Invasiones, Dep Bio & Biochem, University of Houston/ INIBIOMA CONICET Comahue"
QkYexZ8AAAAJ,NouoMZYAAAAJ,Maria Inês Amaro,ISCTE-IUL
QkYexZ8AAAAJ,a5__7OEAAAAJ,Tamara Nair,"RSIS, NTU"
thPVgKYAAAAJ,bGjsvKEAAAAJ,Carola Flores,"Escuela de Arqueología, Universidad Austral de Chile, Puerto Montt"
xqN3iYoAAAAJ,Obt0vO4AAAAJ,Jorge Díaz-Ramírez,Universidad de Tarapacá
V_AXCYsAAAAJ,6WkZ67wAAAAJ,Rodrigo Ferrer Urbina,"Escuela de Psicología y Filosofía, Universidad de Tarapacá"
V_AXCYsAAAAJ,xu1R9IcAAAAJ,Alejandra Caqueo-Urízar,Universidad de Tarapacá
V_AXCYsAAAAJ,LRMHm2QAAAAJ,Lorena Gallardo Peralta,"Profesora e investigadora, Facultad de Trabajo Social, Universidad Complutense de Madrid"
V_AXCYsAAAAJ,XTQr81wAAAAJ,FRANCISCO LEAL-SOTO,"Departamento de Ciencias Sociales, Universidad de Tarapacá"
-xmTLPYAAAAJ,CnEEXs8AAAAJ,Kristopher Chandia,Universidad de Tarapacá
56doXw8AAAAJ,Obt0vO4AAAAJ,Jorge Díaz-Ramírez,Universidad de Tarapacá
1XMB75UAAAAJ,Daftso8AAAAJ,RAUL  BUSTOS GONZALEZ,Universidad de Tarapacá
UAnC_gwAAAAJ,1XMB75UAAAAJ,MARJORIE TOVAR-CORREAL,Universidad de Tarapacá
