scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
LEEYFekAAAAJ,VDb3PyAAAAAJ,Marcel GA van der Heijden,"1) Department of Agroecology & Environment, Agroscope, Zurich; 2) University of Zurich …"
LEEYFekAAAAJ,MMd0MnQAAAAJ,Richard Bardgett,"The University of Manchester, Manchester,  UK"
LEEYFekAAAAJ,QGUI4BoAAAAJ,Dan Pennock,"Professor of Soil Science, University of Saskatchewan"
LEEYFekAAAAJ,BYC9328AAAAJ,Adriano Sofo,"University of Basilicata, DiCEM, Matera, Italy"
LEEYFekAAAAJ,fXemWp4AAAAJ,Leho Tedersoo,"Researcher in Fungal Ecology and Biogeography, Tartu University"
LEEYFekAAAAJ,JrkHZmIAAAAJ,"Francisco José García García, MD PhD",Servicio de Geriatría CHT. Toledo
LEEYFekAAAAJ,P67qmjwAAAAJ,Bruno Fogliani,New Caledonian Agronomic Institute
LEEYFekAAAAJ,4Pcj_EIAAAAJ,Georg Guggenberger,Leibniz Universität Hannover
LEEYFekAAAAJ,_AVEpIoAAAAJ,Robert McCulloch,Centro de Investigación en Ecosistemas de la Patagonia
LEEYFekAAAAJ,91RfZugAAAAJ,Iskandar,"Dept. of Soil Science, Bogor Agricultural University"
LEEYFekAAAAJ,zuUfOPMAAAAJ,Carsten W Müller,University of Copenhagen
LEEYFekAAAAJ,3xNlkIUAAAAJ,Sebastian Veg,"Professor, EHESS Paris"
pAqfjfsAAAAJ,AQ7yOeIAAAAJ,Felipe Arenas,Universidad de Santiago de Chile
pAqfjfsAAAAJ,jlpbJJYAAAAJ,Luis Cottet Bustamante,Universidad Santo Tomas
KRpmq6EAAAAJ,hMnlOYAAAAAJ,Francisco Guinjoan,"Full Professor, UPC, Barcelona, Spain"
KRpmq6EAAAAJ,XN63d3kAAAAJ,Carlos Meza,Anhalt University of Applied Sciences
KRpmq6EAAAAJ,5kPvjUAAAAAJ,Guillermo Velasco,Professor Agregat. Universitat Politècnica de Catalunya
KRpmq6EAAAAJ,o3-Z6mQAAAAJ,Pablo Sanchis,Public University of Navarre
KRpmq6EAAAAJ,zGFZAE8AAAAJ,Antonio Carlos Zambroni de Souza,Universidade Federal de Itajubá
KRpmq6EAAAAJ,WNT_qXcAAAAJ,Dr. Miguel Castilla,"Professor, Technical University of Catalonia"
KRpmq6EAAAAJ,X-AeGdEAAAAJ,Mário Gomes,Instituto Politécnico de Tomar (IPT) / Centro de Investigação Cidades Inteligentes (Ci2.ipt)
KRpmq6EAAAAJ,xFbB7kcAAAAJ,Ralph Gottschalg,Director Fraunhofer CSP; Professor of Photovoltaic Energy Systems at Hochschule Anhalt
KRpmq6EAAAAJ,SZ9r1FgAAAAJ,Mario Rui Gomes,Inesc-id
hrJ2XYsAAAAJ,Zin3C7YAAAAJ,Víctor Patricio Díaz Narváez,"Profesor Investigador, Universidad Andrés Bello. Santiago. Chile."
hrJ2XYsAAAAJ,KusilLIAAAAJ,Felipe E. García,"Académico, Universidad de Concepción, Concepción, Chile."
hrJ2XYsAAAAJ,QmVSYyQAAAAJ,Pilar Torres,"Profesor asistente ,Universidad San Sebastián, Concepción. Chile"
hrJ2XYsAAAAJ,eYImzwsAAAAJ,Anna Marcelina Wlodarczyk,"Profesora Asociada, Universidad Católica del Norte"
hrJ2XYsAAAAJ,iZ-PiyUAAAAJ,Eugenia Smirna Gonzalez Diaz,"Profesor de epidemiologia, Universidad Central del Este"
hrJ2XYsAAAAJ,fhIr5TIAAAAJ,Camila Valenzuela-Moguillansky,Laboratorio de Fenomenología Corporal
hrJ2XYsAAAAJ,UL552pAAAAAJ,Natalia Fortich Mesa,Corporación Universitaria Rafael Nuñez
hrJ2XYsAAAAJ,KVva2AIAAAAJ,Dario Paez Rovira,"Profesor Catedratico (1984/2023 UPV), Invitado (UNAB,cl) y honorario (PUCP,pe) de …"
hrJ2XYsAAAAJ,_EXwDyIAAAAJ,Bernardo Riffo,"Profesor de Lingüística, Universidad de Concepción"
hrJ2XYsAAAAJ,WLPKlSIAAAAJ,Ximena Vélez Calvo,"Profesor Educación Inicial, Educación Básica y Educación Especial, Universidad del Azuay"
hrJ2XYsAAAAJ,IRf94m0AAAAJ,Dilia Aparicio Marenco,Corporación Universitaria Rafael Núñez
hrJ2XYsAAAAJ,kQWz5M0AAAAJ,Fernando  Reyes Reyes,Facultad de Psicología Universidad del Desarrollo. Instituto de Bienestar Socioemocional …
hrJ2XYsAAAAJ,iKilzjAAAAAJ,Claudia Arispe-Alburqueque,"Coordinadora de Investigación, Universidad Wiener"
hrJ2XYsAAAAJ,f8sMWagAAAAJ,Doris Carrasco Mardones,"Profesor Asistente, Facultad de Odontología, Universidad de Concepción"
hrJ2XYsAAAAJ,O8qrvmQAAAAJ,Maria Isabel Gaete Celis,"Investigadora Joven, Insituto Milenio para la Investigación en Depresión y Personalidad …"
hrJ2XYsAAAAJ,SLux9bQAAAAJ,Mariela Padilla,Herman Ostrow School of Dentistry of USC
hrJ2XYsAAAAJ,Y-0YDYUAAAAJ,"ROSARIO MARTINEZ ARIAS, Rosario Martínez",Psicologia
hrJ2XYsAAAAJ,lxERpKgAAAAJ,JORGE LUIS BILBAO RAMIREZ,Docente Metodología de la Investigación Científica
hrJ2XYsAAAAJ,ssknb1oAAAAJ,Elizabeth Fajardo Ramos,"Profesora Titular FCS, Universidad del Tolima"
hrJ2XYsAAAAJ,rM9i5k8AAAAJ,Fray MARTINEZ-REYES,"Profesor de Investigacion y Bioestadistica, Universidad del Azuay"
hrJ2XYsAAAAJ,oePza-8AAAAJ,Ana María Erazo Coronado,Universidad Metropolitana Universidad del Norte
hrJ2XYsAAAAJ,8aqtAIoAAAAJ,ANA LILIANA RIOS GARCIA,Docente Universidad del Norte
hrJ2XYsAAAAJ,Zx9GJQ4AAAAJ,ALBA XIMENA ZAMBRANO CONSTANZO,"Departamento de Psicología, Universidad de La Frontera"
X4JpgYwAAAAJ,Cwx71pYAAAAJ,Eduardo Guzmán Muñoz,"Escuela de Kinesiología, Universidad Santo Tomás, Talca, Chile"
X4JpgYwAAAAJ,DC-1QokAAAAJ,"Pablo Valdés-Badilla, Ph.D.",Universidad Católica del Maule
X4JpgYwAAAAJ,lNlzaIsAAAAJ,Yeny Concha- Cisternas,Universidad Santo Tomás
X4JpgYwAAAAJ,c9vCxn4AAAAJ,Rodrigo Ramirez-Campillo,Exercise and Rehabilitation Sciences Laboratory. School of Physical Therapy. Faculty of
X4JpgYwAAAAJ,bVido7MAAAAJ,Sergio Sazo Rodríguez,"Kinesiólogo, Universidad Santo Tomás"
X4JpgYwAAAAJ,lDg38rEAAAAJ,Marcelo Castillo-Retamal,Universidad Católica del Maule - Facultad de Ciencias de la Educación - GEEAFyS
X4JpgYwAAAAJ,3uvrmCYAAAAJ,Ricardo Cartes-Velásquez,Fundación Kimntrum
X4JpgYwAAAAJ,Qaik25EAAAAJ,Edith Elgueta Cancino,Universidad Andres Bello
X4JpgYwAAAAJ,SUKzSYQAAAAJ,Francisco José Berral de la Rosa,"Catedrático de Universidad, U. Pablo Olavide de Sevilla (ES). https://orcid.org/0000-0003 …"
X4JpgYwAAAAJ,e_D6W2MAAAAJ,Tomas Herrera-Valenzuela,"Laboratorio de Ciencias de la Actividad Física, el Deporte y la Salud, Facultad de Ciencias …"
