scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
4Tv22ZQAAAAJ,ocH3_iMAAAAJ,Hannes De Deurwaerder,Postdoc
4Tv22ZQAAAAJ,WOSxA8QAAAAJ,Z. Carter Berry,"Visiting Assistant Professor, Wake Forest University and High Point University"
4Tv22ZQAAAAJ,KHX4_noAAAAJ,Luitgard Schwendenmann,"Associate Professor, The University of Auckland"
4Tv22ZQAAAAJ,6fq4FOEAAAAJ,Katherine Sinacore,Smithsonian Tropical Research Institute
4Tv22ZQAAAAJ,PdYROiQAAAAJ,María Poca,Instituto de Matemática Aplicada San Luis (CONICET-UNSL)
4Tv22ZQAAAAJ,MIVjvlcAAAAJ,Mario Bretfeld,Kennesaw State University
4Tv22ZQAAAAJ,xt6Ra4UAAAAJ,Lucile Verrot,"University of Aberdeen, UK"
4Tv22ZQAAAAJ,DIj7TZQAAAAJ,LS Borma,INPE
4Tv22ZQAAAAJ,bTlXO18AAAAJ,Heidi Asbjornsen,University of New Hampshire
4Tv22ZQAAAAJ,_eyIvokAAAAJ,mark seyfried,USDA-ARS
4Tv22ZQAAAAJ,bGLa-BMAAAAJ,Georgianne Moore,"Professor and Chair of Biology, Georgia Southern University"
4Tv22ZQAAAAJ,6F2uaxMAAAAJ,Christine Stumpp,"University of Natural Resources and Life Sciences, Vienna"
4Tv22ZQAAAAJ,sMvWRCoAAAAJ,Arnaud Legout,"Chargé de Recherche, UR 1138 Biogéochimie des Ecosystèmes Forestiers, INRAE Grand …"
4Tv22ZQAAAAJ,JrumfWIAAAAJ,Christophe Hissler,Luxembourg Institute of Science and Technology
4Tv22ZQAAAAJ,2b_MwX4AAAAJ,Rolf Siegwolf,Guest Scientist at the Institute for Forest Snow and Landscape Research (WSL)
4Tv22ZQAAAAJ,z8uRqdQAAAAJ,Lutz Breuer,Justus Liebig University Giessen
4Tv22ZQAAAAJ,vAu9J9UAAAAJ,Christiane Werner,"Professor of Ecosystem Physiology, University of Freiburg"
4Tv22ZQAAAAJ,A-2xovMAAAAJ,Markus Weiler,University of Freiburg
4Tv22ZQAAAAJ,1-sIxy0AAAAJ,Maren Dubbert,"Senior Scientist, ZALF Müncheberg"
